sample_id	label	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose	variety	variety_group
string	string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete
meta	meta																																																																																																													meta	class
421757	Chardonnay, Carneros, CA 2003 (CH02)	12424	2027	70915	4638	503	1369	2382	20867	311693	1875	39018	8249	1560	9997	49049	1419	4080	15945	1151	1002	15916	593	18163	89548	9348	58986	1421	10030	98086	138320	15290	300584	2295	1935	25864	133631	4528	9525	64262	631	15277	5434	570853	10446	1259	102475	2575	2204	3480	1045	188115	842	5953	4184	36506	3783	1.22685e+06	5165	118494	92660	5660	69892	276424	3717	221264	2348	8691	15536	13789	775	796	122	104854	165455	7277	10843	32382	12928	2.78478e+06	3729	25882	2137	3138	6896	783	34376	45251	9080	76706	3818	47623	1248	897985	2109	456464	8662	5900	24993	1792	193	41435	6593	3901	597	60367	1408	2456	34851	Chardonnay	Chardonnay
421761	Chardonnay, Carneros, CA 2003 (CH02)	13364	1964	70742	4708	206	1572	2271	18519	312192	2031	39512	8671	1581	9097	47837	1676	4145	16301	1125	1070	15512	601	18867	95085	9281	58173	273	10910	90326	142748	15031	308254	2377	1978	27353	138261	4337	8902	65583	10610	15339	4024	555234	10344	1469	108599	2509	2360	3463	999	190433	622	5680	4288	38508	3826	1.21822e+06	1374	119710	91113	5039	76388	283171	3924	148109	2929	9340	14653	13059	746	794	133	99375	183521	6560	7789	30018	12551	2.81646e+06	849	26285	1662	3211	6471	866	40847	45625	8447	74727	4255	41448	1435	925511	2525	451948	8949	5732	28358	1896	210	45560	5111	3663	590	61252	1385	2458	32045	Chardonnay	Chardonnay
421765	Chardonnay, Carneros, CA 2003 (CH02)	11889	3343	73578	4824	615	1451	2477	22440	317662	2048	41703	8490	1623	9202	48268	2116	4078	15999	1284	1053	14893	620	18822	89167	9753	55361	1564	10128	95391	138091	14610	316294	2111	1833	25593	132222	4065	9151	64618	2437	14800	9609	463856	10624	1390	105797	2295	2157	3372	872	197885	863	5526	2005	38915	3899	1.25641e+06	6265	120921	89161	5291	74043	291126	2937	168623	8043	9765	15921	12651	714	1055	202	108549	199091	7412	8289	31129	13420	2.96646e+06	1022	25602	2067	3204	7116	884	36599	46151	7770	78495	3634	42745	1312	768527	3034	466662	9423	5605	22530	1865	151	40720	6378	3610	408	60910	1218	2541	33842	Chardonnay	Chardonnay
421769	Chardonnay, Carneros, CA 2003 (CH02)	12568	2195	69558	4462	599	1486	2092	18347	360054	1739	38438	8651	1367	9753	45366	1864	3278	14490	2006	1022	15322	563	16965	87562	7797	56627	243	9157	95667	141477	13966	298330	1939	7610	25366	133139	3983	8468	66060	2749	15329	4131	512929	9703	1952	108217	2138	2101	2936	824	207120	907	5279	3699	37750	3964	1.40217e+06	17505	124803	94668	5108	63046	314756	3498	223557	7657	8515	16133	12543	591	1061	143	71313	181068	5977	8521	29971	13186	2.68586e+06	2710	26755	2357	2952	7079	548	37989	39795	8521	82941	3630	36357	1000	850442	2126	402657	8780	5820	23317	1830	195	40199	6109	4689	325	62148	1222	2769	33855	Chardonnay	Chardonnay
421774	Chardonnay, Carneros, CA 2004	8697	1887	74761	3144	373	2582	2018	16352	129322	1959	25025	4977	1378	5541	17702	2729	4351	10789	3081	1924	26303	903	23621	28435	1563	37082	1839	14570	123487	409448	10264	53720	1571	1010	14575	80791	2936	708	290625	816	6605	1607	797806	11374	902	44025	172	2349	1901	992	184736	1179	2722	3110	15391	3452	1.03684e+06	2896	58151	41251	3610	40912	291765	9446	333335	466	4230	9458	10371	508	933	303	15064	75960	8720	12802	13098	5987	2.90204e+06	2262	13124	2159	1379	4355	432	14908	34059	8377	102247	1040	63650	793	1.0562e+06	2076	291781	7495	4651	10613	15582	1454	19381	6221	1464	107	26460	739	1524	26010	Chardonnay	Chardonnay
421778	Chardonnay, Carneros, CA 2004	9724	925	74915	3299	534	2696	1147	16222	128708	2241	24268	4522	1369	6078	17439	1183	2720	12660	2315	2592	26788	1343	25558	27466	1250	36179	2263	12895	126771	415308	10167	56504	1552	1052	14683	85275	2801	789	285728	1741	6207	3247	1.11527e+06	10508	1785	50225	222	1658	1894	933	171024	1096	2863	3116	16852	3472	975596	10272	56285	40751	4553	43495	267275	8958	308410	320	4156	11523	10378	393	241	124	10264	73522	3951	7383	13091	5217	2.69131e+06	1925	17164	2142	1405	4671	382	18620	33628	8150	92257	1002	31304	742	1.07069e+06	1859	318493	8007	4719	10918	16329	1453	18489	5139	3112	124	30511	648	1400	24351	Chardonnay	Chardonnay
421782	Chardonnay, Carneros, CA 2004	9880	1077	87113	3712	384	3126	1505	16838	119177	3320	29820	5773	1276	7457	21700	2495	4922	14387	4342	2449	34448	1901	29873	35949	1598	46072	796	16203	146237	360790	12189	63851	1934	1048	231177	97423	2976	1125	285854	6144	7197	2860	582608	14290	2371	56056	285	2572	2213	1196	188888	989	3752	3910	19195	4135	816995	11743	61676	47298	5523	49332	251472	11205	378710	1397	4846	13158	13276	488	447	188	11478	97633	11049	38768	14706	5768	2.64288e+06	3446	20150	2575	2042	5160	556	23217	44107	10119	102896	1287	100638	1260	1.1986e+06	2764	380277	9979	5536	12886	20416	2049	24635	12868	3128	202	33914	1032	1467	28737	Chardonnay	Chardonnay
421786	Chardonnay, Carneros, CA 2004	9541	2244	93519	3866	484	3251	2594	14069	115566	3522	31345	6810	1723	6455	21564	2915	4727	15115	4249	2256	37094	1912	32802	37936	1560	45644	113	18176	127092	327196	12476	68078	2171	1359	156131	99713	4650	1195	297550	998	8288	2908	457934	14801	1213	57957	286	2622	2847	1484	197748	1365	4020	4680	18710	4481	845998	12728	68405	50609	4387	56125	269709	11777	400277	8763	5347	13624	14732	373	852	218	17058	107859	12115	40699	17463	7371	2.71432e+06	3301	15266	2985	1827	6224	769	16831	44842	12351	105903	1290	72100	975	1.21305e+06	2301	393158	9875	6154	14637	20563	1952	28403	5675	1830	140	32012	1130	1908	29615	Chardonnay	Chardonnay
421790	Chardonnay, Carneros, CA 2004	8927	1740	76314	3263	339	2625	399	18001	141241	2246	26185	4814	1240	4930	18662	1909	2721	12710	1438	1937	21016	926	26681	28070	1678	37325	3393	13406	133960	400229	9003	60366	1052	1165	34425	89645	2873	839	282479	2069	6264	2204	886792	9993	1027	53732	281	1992	2176	918	185546	908	2836	2121	17425	3871	1.09755e+06	8025	65804	41648	4042	45517	302836	6807	331818	5154	4711	11492	9915	437	868	378	14303	78421	9506	8103	14571	6406	2.52187e+06	1306	12615	2524	1708	5201	476	16454	33522	6112	94507	1004	53336	609	1.14791e+06	2345	349395	8206	4767	14947	11248	1597	19592	6929	1373	110	29284	731	1391	25274	Chardonnay	Chardonnay
421794	Chardonnay, Carneros, CA 2004	7518	995	66876	3200	461	1943	1840	14582	120373	1825	23507	3718	1072	5101	16858	1724	3920	11377	2461	1671	19900	752	23794	25631	1591	36277	2345	11665	111728	400359	8719	49309	910	979	78915	74191	2066	725	254068	1888	6570	2077	1.26334e+06	10594	602	41511	260	2153	1797	894	180776	937	2744	1998	13934	3658	965885	3084	52123	38060	3781	40214	271059	6710	310075	4853	3977	10658	9468	451	533	152	12495	66630	5804	11205	11705	5611	2.78908e+06	1887	12212	2082	1536	4501	342	14938	31224	5210	87264	991	42358	726	979306	1699	314745	6973	4293	10635	11837	1390	18542	4725	1403	119	24920	631	1405	21623	Chardonnay	Chardonnay
