sample_id	label	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose	variety	variety_group
string	string	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete	discrete
meta	meta																																																																																																													meta	class
421840	Chardonnay, Napa, CA 2003	6150	1570	49772	3318	515	1428	1596	11694	169315	1882	40454	4582	2139	11406	36674	1931	4224	13523	10111	2494	12367	1652	25466	42852	1518	44390	443	9384	71035	107349	14930	251326	2347	1258	14561	100432	4036	730	238006	483	9869	1955	1.4681e+06	9644	653	88103	1737	2430	4779	904	213262	1931	4411	5030	35041	3490	1.41806e+06	15587	107231	71802	3125	19265	210682	3513	553353	1976	8009	12412	13906	691	791	484	10273	156538	10980	14926	26865	7396	1.838e+06	904	11153	5552	2665	7137	651	27524	48707	7015	60832	1616	75517	1787	763905	4593	465658	7645	6972	22950	2194	2762	43803	16367	1554	508	57195	563	2558	30742	Chardonnay	Chardonnay
421844	Chardonnay, Napa, CA 2003	9566	2343	49619	3365	545	1742	2459	13178	182887	2014	39814	5504	1782	13280	34892	2972	8194	13540	7561	2397	13628	1447	24565	44523	1472	52272	250	10441	63188	113726	14402	223000	2524	1306	16206	117879	4445	677	265311	9284	12151	2241	800586	10891	624	85272	1918	2426	4818	1229	222905	2385	4847	5208	37880	3550	1.33928e+06	5443	116516	80775	3070	18484	232542	3801	570245	11664	8452	11828	14878	854	844	527	13611	163356	11520	17144	28580	8453	2.33842e+06	4004	11867	5751	2769	6964	584	27302	51864	7146	74264	1849	66835	1522	774083	3216	495233	7854	6720	19335	2714	2944	46665	1522	1742	341	59129	659	1875	31926	Chardonnay	Chardonnay
421849	Chardonnay, SE Australia, 2004	14063	2445	40223	2996	600	4227	2222	12318	285760	1960	86826	8462	1579	11918	31751	2978	3198	8407	4527	2262	14535	1224	12578	127784	10349	46447	537	6143	64858	401666	15726	179719	1517	1314	576665	191086	3208	5350	817509	3807	14703	3716	723261	9458	970	58191	274	2181	2935	579	196873	23775	5732	3545	12438	3634	188514	8708	46380	36139	2818	254830	88739	6461	117680	4666	3297	9310	9188	769	477	289	97644	247598	9066	12882	11769	10040	1.8095e+06	3502	15181	1742	2336	5600	549	31737	28492	7054	106459	550	66133	1395	510850	21739	305903	6687	5615	16926	6462	1837	32251	8340	2156	254	32445	336	2733	30466	Chardonnay	Chardonnay
421853	Chardonnay, SE Australia, 2004	13735	2590	36266	2890	365	4256	1613	11252	286181	1407	83499	8055	997	10024	30000	1618	4042	7985	1033	2818	11391	819	12327	107457	7666	43665	32	5329	63092	384357	16917	197704	1301	1286	40276	191559	2694	4685	761051	3427	12574	3407	1.04082e+06	8185	1512	59278	209	1563	2242	454	191563	18930	4981	2284	12530	3579	246204	4660	44929	32459	2964	277514	64689	5511	101802	5254	3208	10584	7508	466	486	144	79801	251259	6107	6719	11934	7226	1.82658e+06	2001	15109	1534	2227	5113	261	28861	27209	5753	113401	399	36033	1415	615393	345472	282582	8121	5384	17330	4872	1283	28240	949	2195	54	32519	270	2872	25742	Chardonnay	Chardonnay
421857	Chardonnay, SE Australia, 2004	12968	2206	38774	2762	542	4642	2367	9825	278703	1755	66592	8575	1564	11303	30522	2777	3441	8045	4611	1834	13036	1253	12395	119174	9969	45433	205	5733	59697	393964	16254	211115	1671	5190	524655	186818	3350	4996	813051	3489	14123	2885	735063	9222	860	55346	216	2152	2843	452	187919	21172	5490	2933	12165	3861	177479	9093	45481	35607	2942	256110	100908	6860	147561	5217	3112	10256	8626	841	686	231	87296	243902	8952	12705	11854	10208	1.91173e+06	494	14459	1830	2508	4985	300	32052	27082	7071	100423	529	68679	1472	499623	23663	318819	7165	5498	17714	6737	1571	32347	8142	1480	232	31840	401	2692	27510	Chardonnay	Chardonnay
421861	Chardonnay, SE Australia, 2004	14254	2369	44869	3517	371	4954	2094	13939	336612	1744	96880	9924	1571	12468	39649	2614	3107	10162	4355	2500	16831	1538	14951	75851	9011	55637	1508	6446	71480	325501	17607	235730	1951	5663	44181	214248	3681	6131	722058	2563	19256	3215	485129	11871	1289	68780	286	2285	3351	509	219864	31293	6097	3645	14432	4485	238527	5436	54352	40724	3240	308401	115648	8144	78121	2359	3902	11659	9892	522	925	220	69815	290250	10634	15175	14348	12003	2.15484e+06	3824	16641	1798	2725	6104	447	38514	31968	8794	116267	867	67648	2727	700640	89592	331348	9217	6737	20734	8200	1766	39306	9035	2657	174	38367	384	3511	35976	Chardonnay	Chardonnay
421865	Chardonnay, SE Australia, 2004	14189	2197	41038	3029	643	4592	1778	11870	321094	1697	90935	8536	1108	10283	33695	1862	4385	8500	1323	2152	10727	1240	13136	118838	9644	47058	2980	5650	67800	413941	17148	217252	1131	4586	32884	201155	3025	5409	812098	3554	13417	5549	567338	8392	1347	60520	202	1709	2376	467	210479	17371	5522	2111	12668	3913	238603	1865	48803	34122	3544	289886	81592	5148	129655	1684	3412	9871	8781	534	649	236	74708	260770	8574	12101	12063	8279	1.94075e+06	2321	16367	1673	2479	5571	467	30659	27339	5397	126365	565	43497	1174	642830	309816	245527	8259	6029	16800	4924	1271	31453	1337	2113	74	34351	275	3712	33401	Chardonnay	Chardonnay
421869	Chardonnay, SE Australia, 2004	12584	1209	45497	3591	399	4743	2166	13890	323503	1875	90614	9168	1493	12333	38265	2208	2973	9073	4018	2066	13756	1463	14873	131450	10149	50519	28	6667	73802	272298	17646	234360	1405	1591	37104	206497	3286	5868	718344	3970	17027	3112	694654	9938	929	67578	259	2203	3197	492	204282	20149	5860	2954	14435	4325	245212	5695	51437	39958	3446	289752	118444	6670	85630	6340	4168	10494	9909	718	883	337	89947	296096	8553	14351	13667	11060	2.01594e+06	465	18367	1772	2849	6531	561	37540	31869	6315	126814	630	63458	2083	725466	94289	342808	9192	6242	21117	6382	1671	35495	9586	2168	223	36050	455	3720	39708	Chardonnay	Chardonnay
421874	Elevage Blanc, Napa, CA 2004	10552	4185	160041	12673	675	3508	4239	6670	158776	11346	34512	6040	1764	11214	25719	3458	7089	3565	8995	1529	94086	849	20938	10893	812	31460	1650	45840	101370	191451	20657	50270	3517	1021	15459	83338	3495	1075	218925	8134	8158	4563	1.193e+06	10393	4046	57397	993	3063	4239	654	309368	1203	6539	4668	28583	3661	1.1166e+06	9595	94141	59970	7343	12813	116847	14547	229274	15680	6173	11949	11680	448	1325	593	5586	81665	19282	21770	20287	13179	1.01295e+06	1748	27368	3326	3056	8545	701	21126	21015	29115	80819	644	156567	2666	2.05313e+06	2493	724284	17957	13145	13552	28030	2518	28559	22265	3215	273	42246	3288	3357	21853	Elevage Blanc	Elevage Blanc
421878	Elevage Blanc, Napa, CA 2004	10102	4879	164087	13423	1227	3988	4059	5998	136243	10229	12907	5748	2473	10655	28086	2406	10583	3056	1150	1821	91499	908	21699	11270	871	31767	6053	49805	115405	189623	17672	52823	2947	1058	19063	90144	3371	1049	232729	1886	8668	5322	1.46961e+06	9424	3461	59835	877	2630	4656	640	307466	1217	6225	4143	27942	3922	1.1141e+06	9683	93153	64528	6674	13135	119869	13163	143644	4356	6666	13529	11697	655	1705	176	8129	78292	18928	20131	21910	13175	1.0333e+06	1571	25611	2790	2922	9106	1235	18546	25267	24840	89304	798	162337	1192	1.8344e+06	5440	732060	17502	12197	12116	25953	2762	27503	16681	2509	144	41858	3044	3382	24121	Elevage Blanc	Elevage Blanc
421882	Elevage Blanc, Napa, CA 2004	10163	2192	162999	12515	1374	3868	1005	6055	150344	10206	33835	5979	2199	13709	28473	2470	11727	2951	819	2706	87850	1410	20334	12409	500	30646	7074	46637	101407	194595	20930	51512	3161	1299	14719	85829	3349	1061	215190	731	9154	3735	1.24398e+06	8666	4028	58700	774	3446	3323	663	304016	1260	5879	4176	31285	3705	1.20417e+06	7245	94106	62028	8188	12683	116564	14828	160923	4435	5152	15492	12225	486	456	214	5745	79033	13009	19472	20119	11737	998985	1801	33196	2951	3227	9169	880	22726	23603	25844	85567	660	135352	1081	2.06589e+06	2090	707742	18551	13159	16376	28026	2396	28590	18759	5256	301	49137	2589	3349	23157	Elevage Blanc	Elevage Blanc
421886	Elevage Blanc, Napa, CA 2004	7517	2406	127097	10763	875	2992	2869	6198	141471	7994	27305	2924	2439	7796	23493	2073	7910	2757	3602	1077	48376	728	16665	7853	710	24298	4740	34754	95897	152398	13670	43311	1380	699	13747	66233	1832	716	192879	1309	6165	4758	2.14391e+06	6201	1522	46915	472	2193	3516	460	277515	1243	4711	1970	22107	3104	1.32164e+06	6861	84321	47089	5278	10709	78828	7210	132275	6760	5524	8656	7965	543	1384	317	6594	59768	16648	40190	16939	11004	866897	1414	19621	2324	2398	7387	603	14624	15907	12047	70218	418	121759	1155	1.94826e+06	1162	596590	13828	10451	15559	12472	1726	20051	14094	1501	206	34246	2006	2818	18100	Elevage Blanc	Elevage Blanc
421890	Elevage Blanc, Napa, CA 2004	8213	3048	133173	11185	719	2908	3187	6079	141068	7498	30729	5851	1352	8701	23765	2649	7921	3177	1013	1080	58483	867	15908	8665	857	25330	4224	36369	89042	160746	14412	44204	2030	945	14698	71751	2349	860	188709	1469	6948	6655	2.03633e+06	6583	2091	47406	659	2310	3550	590	293430	771	3873	2627	22838	3011	1.27566e+06	8437	83879	49248	5300	10012	87038	9580	163827	8969	5557	9971	9598	548	1483	362	7914	62189	18552	16791	18858	10523	897109	1198	20972	2157	2422	7695	1032	13890	17151	16834	69545	543	127623	1309	1.96696e+06	2750	579104	14253	10653	13693	17480	1926	21229	17118	1924	254	33125	2108	3166	19411	Elevage Blanc	Elevage Blanc
421649	Fume Blanc, Napa, CA 2004	9457	1580	140005	10785	1018	2711	3153	6158	158179	6905	23967	4453	2435	9474	22801	1952	9741	3120	2913	1278	64621	908	16535	7916	567	28886	4515	26994	98632	130697	13184	47888	2305	672	14680	75681	2658	1049	219525	747	6908	3378	1.37361e+06	10644	2852	51557	587	3429	2876	719	371594	1351	5271	3314	23625	3541	1.48256e+06	11376	86737	54092	5513	11188	97270	11309	159023	9291	5568	11104	11021	538	882	181	5420	65624	14738	30204	18166	11389	1.01052e+06	1701	24295	1811	2561	9507	787	13766	20223	21157	98198	655	102441	1598	1.93998e+06	3905	708352	15020	10878	6734	21369	3376	20911	12158	2926	252	37377	1691	3596	16156	Fume Blanc	Sauvignon Blanc
421653	Fume Blanc, Napa, CA 2004	10639	1915	132151	10191	873	2553	3265	5157	137134	6588	23384	4796	2851	9148	21742	2415	5380	3256	1674	1598	80261	780	16561	8117	570	30145	5112	25300	99400	140485	14462	47188	3294	1365	12292	78810	3114	1160	227142	679	7879	4040	1.71507e+06	11339	1282	48911	719	3715	3317	895	368862	1596	4342	4685	21702	3303	1.39557e+06	6995	74308	53822	6092	10127	70663	13678	180974	11611	5604	11694	11602	695	1104	401	3779	64671	20095	20457	18697	10903	764956	1454	24245	1894	2818	9748	710	12706	20241	25051	115496	573	132560	1263	1.90707e+06	3165	693928	13983	11017	10412	26444	3588	23397	12448	2302	197	33953	1581	3285	15330	Fume Blanc	Sauvignon Blanc
421657	Fume Blanc, Napa, CA 2004	10696	766	154172	12449	836	3170	4157	10350	141394	10050	21498	6595	2058	10799	24465	3384	18182	3369	22726	1634	87747	1179	20796	10053	769	28764	458	30766	107529	136348	20583	56406	4078	1108	16010	88716	3578	1322	236038	1925	8218	5702	1.56266e+06	13614	2689	54895	885	3756	4000	744	333746	1212	5630	4988	27699	4256	971538	9025	80901	58991	8572	12137	117367	16228	233825	9745	4848	16144	14238	511	730	863	3243	87918	20104	49893	18248	11520	759612	2330	34822	2273	3446	10792	762	22259	22878	28215	106318	558	183149	2913	2.05381e+06	2912	749441	17163	13051	13025	30153	3901	26511	19039	4064	194	45346	2277	3274	18160	Fume Blanc	Sauvignon Blanc
421661	Fume Blanc, Napa, CA 2004	10098	5430	157794	12362	1094	3553	4456	6872	143372	8783	26055	5563	1745	10145	27691	3276	17117	3118	10068	1339	76227	900	20127	10204	1189	35193	4166	29043	106915	139885	15144	55506	2951	1281	20568	92471	3472	1427	241071	2806	8397	5435	1.1848e+06	13519	2779	58162	794	2133	4303	668	340712	1191	6495	3919	26426	3897	1.14802e+06	10002	92198	59614	6130	12402	111928	13316	151006	12029	6508	15468	12816	627	2726	682	8883	83207	23356	39455	20157	12963	1.01888e+06	2083	25005	2340	3171	10535	474	17407	24264	24090	99848	794	178985	1705	2.0779e+06	1687	749809	16331	13229	12929	25227	4023	26284	16255	2576	226	38879	2309	3803	17885	Fume Blanc	Sauvignon Blanc
421665	Fume Blanc, Napa, CA 2004	9479	949	130013	10781	0	2991	0	0	143470	6474	23220	6298	0	0	21102	2036	5052	2972	503	0	77194	0	17843	0	0	29813	0	25895	105892	132640	15607	48813	0	1065	17347	78138	3144	1342	0	346	8172	4434	1.94647e+06	0	0	54375	670	0	2392	0	392788	1224	0	3586	21863	3547	1.42266e+06	5624	75891	53986	6050	9844	0	0	198710	0	5246	17551	11723	0	616	0	0	0	8720	21546	17062	11519	754746	1239	26438	0	2758	9239	0	15210	21234	24068	106101	0	69863	0	2.01398e+06	0	747388	15129	11051	10303	25870	3559	23601	11368	4469	0	35545	1735	3363	15371	Fume Blanc	Sauvignon Blanc
421669	Fume Blanc, Napa, CA 2004	9730	2743	133333	10372	859	2732	1568	2866	150481	7188	22967	4662	2650	8449	22557	2655	8075	2646	3951	1215	66822	1011	15790	8946	549	28205	2886	25801	98571	131229	14364	48744	2520	1345	14585	77260	2844	1270	215374	3995	6900	4246	1.5517e+06	11136	1409	47709	593	2052	2857	813	361966	848	1977	3572	21402	3497	1.47993e+06	9358	79538	52154	5414	9178	106980	12010	235881	9428	5238	11229	10889	544	1583	207	6977	66560	16600	30804	17509	10933	962704	1317	23499	1878	2824	8588	929	13596	20447	21605	104287	727	137325	1935	1.76913e+06	2017	699929	13827	11442	12624	23506	3137	25425	14750	2052	269	33187	1671	3366	16525	Fume Blanc	Sauvignon Blanc
421549	Pinot gris, Napa, CA 2004	14887	2478	69757	4976	1049	2744	1717	10299	309760	1350	116728	3619	1950	24519	28388	1704	18776	7881	1682	5374	21520	3240	22705	144030	13279	52331	5654	13691	71276	264448	17720	419385	3129	1419	44515	169170	4675	1776	371379	1093	12225	2995	1.37899e+06	9269	633	76449	388	2052	3198	962	357017	1060	6610	4645	13363	3440	297880	7428	55218	39819	4458	449651	89500	4025	83046	10689	3502	15823	18285	622	968	347	133589	215708	17602	20353	14216	6560	1.30265e+06	509	17967	3387	2314	6999	442	15674	14879	13009	82661	480	98083	2765	978547	3426	629370	8940	9647	16392	4847	1528	27032	8477	3485	165	34206	509	3434	22650	Pinot gris	Pinot gris
421553	Pinot gris, Napa, CA 2004	12951	3027	69122	5407	737	2578	2788	10116	325800	1708	53904	4183	2302	23695	29678	2456	16019	7770	1636	4634	22373	3040	21793	160067	14315	51399	152	14367	64287	281155	14110	415665	2913	1759	45155	187927	5314	1863	355897	1151	12822	3820	1.26934e+06	10169	1131	66175	441	3945	3294	831	374554	1110	7398	4043	12944	2934	307040	9780	56383	41605	4612	380412	90514	3720	82838	11226	3627	14920	17027	636	1389	312	181031	219175	17472	19570	15255	6851	1.42789e+06	920	18394	3853	2108	6792	232	17037	14206	12321	82940	476	117500	3308	910542	3452	670715	8075	8815	15557	4497	1655	30997	8522	2766	202	34064	545	3812	25158	Pinot gris	Pinot gris
421557	Pinot gris, Napa, CA 2004	10367	4955	66217	4369	1070	2637	3327	8582	355326	1121	99860	2921	2951	24212	28307	3912	17612	7706	1519	5317	21051	2215	20367	138213	13557	48400	6558	12660	52588	255447	16185	389888	2494	1455	66201	167275	4380	1971	364275	1810	12474	2859	1.5409e+06	9137	1636	64918	703	3315	3347	982	371411	992	6818	4463	13069	3141	297447	8180	56801	39213	4357	311845	84289	4433	70550	10540	3781	12977	16344	631	1600	385	150535	207854	19886	20146	13060	6652	1.408e+06	1492	16487	2700	1958	6970	428	16636	13498	12570	79986	1005	125804	2886	861201	2778	659223	8730	8435	15162	4816	1495	28785	9222	4261	171	35032	623	2613	20474	Pinot gris	Pinot gris
421561	Pinot gris, Napa, CA 2004	12253	3406	75967	5334	975	2935	1739	13128	263507	2855	102966	5643	2384	23430	32399	4434	19139	9346	8668	4879	26571	4155	24769	165336	15177	51236	288	16954	56625	213867	18212	464633	3643	2010	45051	179219	5358	2122	366139	2877	13688	5141	1.25126e+06	9970	1296	75070	668	3729	2276	831	338808	1105	8074	5153	14718	3585	221637	9810	59773	50868	4819	412291	175313	7108	72017	3937	3732	12987	19930	924	1006	174	169854	205028	24222	24089	15384	7501	1.4397e+06	871	17588	4033	2263	7204	256	20600	15526	14535	81615	574	187418	3426	1.01235e+06	4627	531726	9629	10548	14493	5513	1812	32896	15665	4139	136	34214	701	3475	24220	Pinot gris	Pinot gris
421565	Pinot gris, Napa, CA 2004	10888	3921	61527	4547	995	2330	3688	10631	348983	1260	103895	2869	2847	22598	27363	3070	17522	7937	1965	4527	19493	2239	19846	136718	14856	46475	70	12525	56722	240681	13419	393972	2670	1782	37613	161168	4398	1521	361009	3835	11770	4124	1.49653e+06	7612	1411	68172	555	3975	3180	1148	379003	1090	6827	3555	13124	3048	302252	6943	56504	40152	4346	325898	74143	5729	68844	10350	3365	13437	14823	721	1670	285	166036	213664	18423	16087	13169	6438	1.45636e+06	2062	16542	2944	2155	6326	471	17711	13346	13635	84577	1087	131479	2873	884652	3300	655698	7944	8912	14765	3876	1525	30022	9967	3035	244	33235	844	3152	20828	Pinot gris	Pinot gris
421569	Pinot gris, Napa, CA 2004	9856	1926	75410	5177	798	3115	3237	10017	337537	2304	113887	4380	2471	24300	30987	3402	17310	8730	3379	4232	18219	3815	22307	158809	16954	52527	235	14996	64622	284415	18173	434158	2573	1348	39828	168799	5171	1723	411929	2341	12233	5430	1.10833e+06	8445	1234	65700	357	3338	2588	859	391592	1542	7086	3393	12792	3477	313059	11261	56858	45181	4477	377578	83283	4774	78707	8503	3910	16518	19371	749	770	431	175854	229516	11770	22771	15643	6380	1.41234e+06	2751	18616	2991	2385	6963	540	13992	14143	11609	84242	521	85664	3116	903057	3862	737898	8814	10000	15290	2859	1742	30429	9570	2598	157	34257	787	3266	25077	Pinot gris	Pinot gris
421524	Pinot gris, Oregon 2003	12111	2367	106165	4946	743	3872	3684	10211	172101	2909	70293	4016	1565	9154	34886	1298	6484	5595	1110	2853	10168	3599	16168	125508	3674	41582	1528	18015	69629	509947	18567	192093	1233	1273	491873	124502	2551	3059	794780	1740	11470	3567	897042	9326	706	67305	851	3185	4516	2425	258066	1330	6600	2004	21098	2209	107645	8016	74963	56152	4483	417873	120613	5473	84624	4607	4905	12571	16338	479	2028	359	33132	148732	11700	12300	20007	6302	945595	1759	16931	12512	1095	11303	953	21852	14157	7568	75506	1092	67812	2094	877755	3399	580771	7623	7547	15348	6673	2463	25608	18331	2529	272	42484	953	2503	25167	Pinot gris	Pinot gris
421528	Pinot gris, Oregon 2003	10957	3826	96933	4507	682	3479	3063	8291	159724	2038	61481	3487	2740	9180	29646	4184	5774	4264	4864	3406	16823	2896	14087	124480	3612	41986	95	18692	49928	621450	18935	160661	1799	1514	665606	135922	4032	3415	792888	4802	10577	3339	1.00664e+06	10909	921	57875	840	3377	3186	2369	274547	1947	6384	3538	17870	1995	94061	11321	62400	48416	4222	361604	100299	8042	78026	917	4318	9021	17110	608	796	428	33017	117308	16850	15869	16940	4973	860665	2108	16076	13035	943	9225	844	17586	14630	12132	70935	1211	117535	2054	810534	3979	511043	5643	6956	10998	12271	2737	25959	12854	1948	298	36113	838	2647	21006	Pinot gris	Pinot gris
421532	Pinot gris, Oregon 2003	11625	4676	100556	4778	1048	3902	3085	8226	166610	2115	66102	5270	1935	9663	31755	3718	5224	4179	6309	3326	14052	2843	15531	125062	3424	42044	2688	19643	67513	624285	21893	182137	1731	1165	307015	123114	4337	3120	776595	944	11630	4085	1.09753e+06	11017	1146	63330	752	2129	3225	2465	276789	1378	6472	2856	18737	2083	100702	4690	66366	53010	4173	413958	81844	6342	43510	6770	4609	9208	15623	436	2613	417	30674	134952	19449	17877	17384	4735	933686	1821	15096	13005	977	9634	613	19995	14482	10768	72167	1134	126716	905	828337	3883	552884	7084	7470	12447	9845	2133	27159	12026	2326	223	39373	840	2676	25081	Pinot gris	Pinot gris
421536	Pinot gris, Oregon 2003	12059	6183	100358	4215	1091	3617	3533	8447	169573	2127	63077	5306	3031	9761	30118	2504	5835	3925	3812	3375	16841	2858	14950	119780	3684	40780	1375	17622	62424	619130	19576	171420	2439	1479	523793	124102	3994	3415	798408	6216	11559	3932	1.07664e+06	9670	892	57663	809	3223	3157	2253	275220	1491	6570	3137	18724	1925	104442	11120	64938	48869	4286	385296	86247	6740	65628	2492	4491	8881	16570	551	1868	472	33602	118410	18772	14625	15683	5553	914145	594	15693	12147	790	8836	624	18225	13891	12183	67344	1461	121785	1855	781862	3657	526104	5745	6534	9644	11130	2472	27050	11421	2302	171	39208	873	2855	21933	Pinot gris	Pinot gris
421540	Pinot gris, Oregon 2003	12571	5142	106231	5035	781	4210	2907	9107	161115	2438	68189	4001	1848	9611	32835	3968	4934	5820	7167	3873	17942	3256	15003	127142	3993	45221	1666	19344	64303	628711	19892	194778	2023	1461	16558	132507	4324	3528	828720	7739	11715	3971	1.08302e+06	10698	1107	64443	759	2456	3389	2651	287544	1737	6723	3500	19552	1915	99666	7207	67332	51999	4886	429976	77800	7623	42959	7129	4864	11426	18895	497	2492	386	30491	135428	20879	18061	18004	5830	914768	2222	17468	12433	981	9803	465	18561	14133	15622	80104	1628	135567	2125	888667	4306	580887	7225	7812	10914	12576	2602	27330	12342	2158	203	40806	909	2623	23779	Pinot gris	Pinot gris
421544	Pinot gris, Oregon 2003	12335	2202	106950	5202	734	3820	3332	10647	167441	2596	64886	3687	1638	9412	33993	2713	6657	5324	852	2933	11271	3614	15968	123769	4164	43785	1367	18005	59142	481179	19336	187726	1233	1139	506905	132369	3796	3186	805961	1998	11818	4168	933731	9429	1326	67738	836	2486	6016	2196	248732	1143	6677	2263	20803	2220	103434	8596	72490	53202	4658	429432	118232	5112	88252	4517	4771	9410	17426	489	1910	333	34164	143810	14076	12026	18255	6315	926380	1917	18236	13185	898	9933	791	19551	15057	8407	68322	1168	64295	2183	891917	9668	559519	7430	7264	13909	8055	2232	27478	16931	2405	222	42554	892	2699	25320	Pinot gris	Pinot gris
421574	Riesling, CA 2004	18681	1655	40195	2804	720	8373	2473	12888	376576	1194	42583	6884	2140	9693	31290	2661	9270	5503	11801	2915	18897	3357	39775	63659	13638	53401	715	5987	84096	210492	17959	255649	4916	1555	427954	232748	4492	3626	575431	22454	17729	4541	555719	20670	1561	69586	742	2734	3164	1417	364668	3631	5954	4092	16962	3766	1.1578e+06	5460	49821	43633	6503	35029	123076	4279	379969	7259	3690	11626	9148	626	580	793	71423	206229	14448	83469	16418	18622	1.19384e+06	3678	23798	2985	1878	7950	621	33447	40573	13917	126705	1614	97134	2243	601913	3551	637939	11357	7019	16836	3521	3212	13049	5420	2902	151	42761	793	3784	35911	Riesling	Riesling
421578	Riesling, CA 2004	14278	3898	32018	2333	920	7097	2238	10244	373945	1213	33854	4459	1515	7846	26598	2006	8735	4757	8144	3597	6778	2527	32870	45855	9931	38814	319	5061	65766	409627	12698	214144	1567	1369	451048	190050	2963	3173	460106	40714	14792	2508	623965	13132	1561	59916	666	2365	3049	1052	288123	1952	4830	1268	16376	3041	1.09948e+06	6794	47802	32053	5268	27083	122827	2607	277137	3147	3371	6900	6785	481	1362	451	81038	206443	11639	66329	10780	15322	1.26525e+06	2504	19622	2514	1522	7096	535	31882	34330	5722	94393	1018	66617	2289	543302	3983	609621	9534	5631	18408	592	2318	9120	8275	2962	112	43321	654	3336	26705	Riesling	Riesling
421582	Riesling, CA 2004	17095	3950	37423	2513	521	8314	2435	11530	341335	1181	39250	6001	1684	9091	28279	2840	6684	5305	6862	4104	13668	3151	36466	57124	13986	50351	1866	6294	73079	410940	15906	239752	4282	1373	167760	214552	4162	3190	546756	3446	16261	2627	870775	17843	1864	65647	549	1989	2960	1393	341624	3304	5463	3255	15400	3459	1.08615e+06	7907	47229	37924	5873	33991	132423	4032	346861	6478	3331	10523	8441	523	903	599	85663	223209	16954	41936	13348	16318	1.19766e+06	3151	23327	3048	1972	7842	477	27830	39936	11275	122082	1359	123836	1329	545056	4176	499686	11043	6838	17017	2621	3157	10768	7168	3425	106	42382	661	3890	31639	Riesling	Riesling
421586	Riesling, CA 2004	15634	2120	27826	1814	803	6287	653	7986	328612	682	29128	4393	1474	8100	21598	2072	3389	4021	978	2807	11866	1941	25384	39239	8938	41096	1168	4448	60202	637476	13562	203972	2991	1188	254941	203585	3152	2618	533879	5144	13157	2827	1.0137e+06	14928	1651	52349	526	2271	2213	921	327757	2272	3923	2439	13416	2607	1.04595e+06	8341	39652	29127	4889	24166	109522	2581	304773	6245	2056	7962	7383	341	480	226	68574	172215	6756	6552	11727	12402	1.0245e+06	2530	21299	2149	1419	5907	273	22342	30745	8607	111014	897	44277	1465	336260	3368	635577	8590	4846	12134	2149	2194	11097	6795	4312	150	37098	686	3034	19527	Riesling	Riesling
